dataset,split,strategy,n_context,roc_auc,average_precision,brier_score,ece,runtime_seconds
freddie_mac,fm_late,class_balanced,1024,0.7927980771716007,0.02865550505815809,0.13724176536030186,0.28194313898153606,9.245586663484573
freddie_mac,fm_late,economically_similar,128,0.7001105773226817,0.021514906244840242,0.009579288240016196,0.028847438805922866,10.589004101231694
freddie_mac,fm_late,economically_similar,256,0.5939303151353751,0.01580335148449099,0.00954165692028108,0.008467873794445769,8.312908904626966
freddie_mac,fm_late,economically_similar,512,0.687385236572342,0.018774583604818762,0.008575105430159654,0.0006508657169900826,9.172700786963105
freddie_mac,fm_late,economically_similar,1024,0.7796153097364384,0.02824521170336322,0.008522862176355004,0.0023362835112214087,11.613594189286232
freddie_mac,fm_late,high_confidence,128,0.34386890653266666,0.005972508915887085,0.9117386646353011,0.9486557592153549,6.842177959159017
freddie_mac,fm_late,high_confidence,256,0.32472197382961526,0.0057698560896640855,0.9571419975906634,0.9730520903587341,8.319235391914845
freddie_mac,fm_late,high_confidence,512,0.3486228900032001,0.006151613385716976,0.893929739720616,0.9390896347808838,11.80630305968225
freddie_mac,fm_late,high_confidence,1024,0.28803626073395416,0.00560821704562195,0.9153046606627007,0.9494783802843094,9.847679069265723
freddie_mac,fm_late,diverse,128,0.6027642750131046,0.013099162598532239,0.00926440599622608,0.0257125841152668,8.68691855110228
freddie_mac,fm_late,diverse,256,0.6889734694382261,0.019481879023841686,0.008879430924146666,0.017539256222248077,10.053655304014683
freddie_mac,fm_late,diverse,512,0.7025620635968128,0.02046828199644658,0.008616006168173658,0.005818050818424672,9.552106844261289
freddie_mac,fm_late,diverse,1024,0.7300526868146386,0.023346590093587135,0.008613008688734332,0.005471066541671753,11.026809586212039
