dataset,split,strategy,n_requested,n_seeds,roc_auc_mean,roc_auc_ci95,average_precision_mean,average_precision_ci95,brier_score_mean,brier_score_ci95,ece_mean,ece_ci95
lending_club,lc_pre_crisis,most_recent,512,5,0.5359901634430392,0.02389923747241898,0.13904378831398098,0.009928201087804596,0.10392489875897212,0.006654418177762722,0.0345215420295737,0.0166201487843606
lending_club,lc_pre_crisis,most_recent,1024,5,0.5359901634430392,0.02389923747241898,0.13904378831398098,0.009928201087804596,0.10392489875897212,0.006654418177762722,0.0345215420295737,0.0166201487843606
lending_club,lc_pre_crisis,random,128,5,0.4885879952142152,0.08236936694710295,0.12223828354224298,0.030317778554775705,0.10397969594067269,0.006251746739070743,0.0380074912418749,0.01962233426345394
lending_club,lc_pre_crisis,random,256,5,0.5274941539817594,0.025557941416989676,0.13677791434702602,0.008087227068222066,0.10476428245292231,0.005737249046012786,0.042816385637416035,0.005222357940300119
lending_club,lc_pre_crisis,random,512,5,0.5357616540400969,0.024265567436177717,0.1388416713864392,0.01065790112747781,0.10392277441743814,0.006627938746135003,0.034582654462269456,0.015619000345108613
lending_club,lc_pre_crisis,random,1024,5,0.5357616540400969,0.024265567436177717,0.1388416713864392,0.01065790112747781,0.10392277441743814,0.006627938746135003,0.034582654462269456,0.015619000345108613
lending_club,lc_pre_crisis,xgboost_full_pool,437,5,0.5270957281711365,0.00840604370367932,0.12329751461876011,0.00684626882583195,0.11859575622962804,0.007356430279665648,0.09905600679747628,0.008656570602029233
lending_club,lc_pre_crisis,xgboost_tuned,437,5,0.5300035818401223,0.014163503666986545,0.12437909548384943,0.007969974517171892,0.11360974717846406,0.006968944954765003,0.0828215128659972,0.013605754446893128
lending_club,lc_recent,class_balanced,128,5,0.6342840492647553,0.029133003062251923,0.27777459138311,0.03147937753841009,0.2398883448075643,0.00435436297480496,0.2817365333245738,0.01678894471387327
lending_club,lc_recent,class_balanced,256,5,0.65518873691918,0.02111860360571573,0.3003639722407014,0.030315328871831193,0.25311836366463814,0.03482322584768276,0.29271219685379146,0.03756295848961877
lending_club,lc_recent,class_balanced,512,5,0.669217813518389,0.010911682332337101,0.3089781942666069,0.02031153002330985,0.23430741815254502,0.0069554870774383,0.2785349814735284,0.013804229083736935
lending_club,lc_recent,class_balanced,1024,5,0.6716395244529819,0.003991023241708243,0.3174138289738918,0.008586506830627512,0.23827898378105378,0.004113252421652655,0.2773865251162528,0.005619901083629689
lending_club,lc_recent,diverse,128,5,0.6238791441230405,0.03081795357951175,0.2752112641244891,0.019317039569581185,0.16130222760810056,0.012440827779863356,0.061330926743900116,0.05239029985252286
lending_club,lc_recent,diverse,256,5,0.6528970984124296,0.020314226136814804,0.29438180070544107,0.01919292379925241,0.1552792309029555,0.008874897629410742,0.04099214113476666,0.03574494485808446
lending_club,lc_recent,diverse,512,5,0.6641384161797921,0.008936836200571351,0.3066296576351063,0.007848112124971678,0.15269926968946615,0.0016491899424335608,0.0399096250406496,0.011659732139380005
lending_club,lc_recent,diverse,1024,5,0.6656694429944526,0.005867178382473993,0.3060598497750525,0.010752749430189869,0.15134701554455718,0.002211732135945121,0.033843624756167284,0.005228780540351792
lending_club,lc_recent,economically_similar,128,5,0.6025234525139519,0.04913701280174079,0.2680347247917962,0.04057756355364063,0.15938331866065167,0.0036113105621987445,0.05695903929691874,0.034349965833763985
lending_club,lc_recent,economically_similar,256,5,0.6562318308436438,0.023537711684495418,0.3054823448343107,0.02133946830872776,0.15661281918227538,0.0043655973757475855,0.06707845137329312,0.024337301227054714
lending_club,lc_recent,economically_similar,512,5,0.6577911904688669,0.007711512709597371,0.3043388639139356,0.0021137789051542083,0.1560246536005853,0.005124778405898776,0.0611814349641556,0.01989226959666627
lending_club,lc_recent,economically_similar,1024,5,0.667073116606242,0.004751105241135063,0.31122292680853486,0.009019249212428157,0.15502432095304744,0.0016350444647722682,0.0672355044168013,0.009078094128760514
lending_club,lc_recent,high_confidence,128,5,0.4188351111895233,0.04495217076941644,0.16980877108185768,0.01578449638598095,0.385080317110113,0.05471243679884568,0.4634638621970108,0.05111549476730259
lending_club,lc_recent,high_confidence,256,5,0.38394177171979715,0.036371849496294746,0.1581052124573438,0.010808662628771289,0.39077037596203346,0.07420519597901219,0.4680868866713057,0.06799976129163857
lending_club,lc_recent,high_confidence,512,5,0.37954589523850923,0.021338955366815675,0.1579496756596236,0.011992423472418658,0.4706926476440542,0.1354555873700395,0.5320461146946385,0.11160887403501274
lending_club,lc_recent,high_confidence,1024,5,0.3765003327635822,0.018702536530023645,0.15790412093982398,0.008723038049904276,0.5516442902568907,0.140057475499989,0.597720728913378,0.12037313745892828
lending_club,lc_recent,most_recent,128,5,0.5934980466853308,0.06118714833489883,0.2569086279467768,0.039793437327290904,0.15986203867242615,0.007088706163484613,0.058528354288735276,0.0471323499776489
lending_club,lc_recent,most_recent,256,5,0.6623533451809451,0.005210672876208513,0.3032670388716177,0.013248832285177644,0.15441178319339977,0.0048914836775372835,0.05010132293742862,0.03852785746107929
lending_club,lc_recent,most_recent,512,5,0.6690575782111959,0.00790203294420961,0.3128477614902798,0.010190732077520448,0.15229752378887482,0.00403277007688874,0.03669975143726166,0.02975718171837235
lending_club,lc_recent,most_recent,1024,5,0.6706943820251994,0.012027322401120104,0.31537250145648665,0.017237311924819428,0.1503810259713652,0.0015549082242117124,0.026819585765078098,0.013068125724295563
lending_club,lc_recent,random,128,5,0.6503533968548056,0.03769590894187295,0.29494355214353296,0.04048381369463483,0.1552626483123168,0.00411586015122616,0.039231367894654076,0.029441088613037878
lending_club,lc_recent,random,256,5,0.6403456106800596,0.030305993944710785,0.2909202624641877,0.022588218368708824,0.1537022499190436,0.0025987401845999278,0.033599513777059366,0.017624532128311263
lending_club,lc_recent,random,512,5,0.6691773415682245,0.004935747975296864,0.3144110859058117,0.011419350303958083,0.15146741408670622,0.0033856095023312364,0.0317553523094373,0.01880017853233937
lending_club,lc_recent,random,1024,5,0.6726350793513877,0.00602276240825653,0.3172772459734181,0.010165090992658875,0.15102033938058113,0.003087043313195491,0.029293249731689917,0.00837783749514086
lending_club,lc_recent,xgboost_full_pool,150525,5,0.6874717749873487,0.004677840016820412,0.33209834076933686,0.008837706128939256,0.14899280897892098,0.001998828859335814,0.02350141233001946,0.0026751246510615867
lending_club,lc_recent,xgboost_tuned,150525,5,0.6870707895099551,0.004199165787989567,0.3319528478046881,0.007423383091612608,0.14858971599610044,0.0020278529079666226,0.019794249278624297,0.00527184120171613
